CustomerID,Recency,Frequency,Monetary,Cluster,Segment,Country
14646,2,73,280206.02,0,Champions,Netherlands
18102,1,60,259657.3,0,Champions,United Kingdom
17450,9,46,194550.79,0,Champions,United Kingdom
16446,1,2,168472.5,0,Champions,United Kingdom
14911,2,201,143825.06,0,Champions,EIRE
12415,25,21,124914.53,0,Champions,Australia
14156,10,55,117379.63,0,Champions,EIRE
17511,3,31,91062.38,0,Champions,United Kingdom
16029,39,63,81024.84,0,Champions,United Kingdom
12346,326,1,77183.6,1,Loyal Customers,United Kingdom
16684,5,28,66653.56,0,Champions,United Kingdom
14096,5,17,65164.79,0,Champions,United Kingdom
13694,4,50,65039.62,0,Champions,United Kingdom
15311,1,91,60767.9,0,Champions,United Kingdom
13089,3,97,58825.83,0,Champions,United Kingdom
17949,2,45,58510.48,0,Champions,United Kingdom
15769,8,26,56252.72,0,Champions,United Kingdom
15061,4,48,54534.14,0,Champions,United Kingdom
14298,9,44,51527.3,0,Champions,United Kingdom
14088,11,13,50491.81,0,Champions,United Kingdom
15749,236,3,44534.3,0,Champions,United Kingdom
12931,22,15,42055.96,0,Champions,United Kingdom
17841,2,124,40991.57,0,Champions,United Kingdom
15098,183,3,39916.5,0,Champions,United Kingdom
13798,2,57,37153.85,0,Champions,United Kingdom
16013,4,47,37130.6,0,Champions,United Kingdom
16422,18,51,34684.4,0,Champions,United Kingdom
12748,1,209,33719.73,0,Champions,United Kingdom
15838,12,19,33643.08,0,Champions,United Kingdom
17404,5,15,31906.82,0,Champions,Sweden
17389,1,34,31833.68,0,Champions,United Kingdom
13098,2,28,28882.44,0,Champions,United Kingdom
14680,26,16,28754.11,0,Champions,United Kingdom
13081,12,11,28337.38,0,Champions,United Kingdom
13408,2,62,28117.04,0,Champions,United Kingdom
17857,5,23,26879.04,0,Champions,United Kingdom
16333,8,22,26626.8,0,Champions,United Kingdom
13777,1,33,25977.16,0,Champions,United Kingdom
12753,23,6,21429.39,0,Champions,Japan
12744,52,7,21279.29,0,Champions,Singapore
16210,2,18,21086.3,0,Champions,United Kingdom
17675,2,31,20374.28,0,Champions,United Kingdom
17381,9,29,20275.61,0,Champions,United Kingdom
15039,10,47,19914.44,0,Champions,United Kingdom
12471,3,30,19824.05,0,Champions,Germany
12731,24,12,18895.91,0,Champions,France
15159,2,30,18641.01,0,Champions,United Kingdom
12901,9,28,17654.54,0,Champions,United Kingdom
12678,43,12,17628.46,0,Champions,France
14031,8,19,17286.86,0,Champions,United Kingdom
17428,1,28,17256.85,0,Champions,United Kingdom
13767,3,37,17220.36,0,Champions,United Kingdom
13881,4,20,17159.52,0,Champions,United Kingdom
16839,9,34,16594.35,0,Champions,United Kingdom
12921,10,37,16587.09,0,Champions,United Kingdom
14607,16,14,16569.5,0,Champions,United Kingdom
15856,5,27,16387.57,0,Champions,United Kingdom
17677,2,30,16363.23,0,Champions,United Kingdom
15189,2,41,16225.39,0,Champions,United Kingdom
14051,1,23,15610.39,0,Champions,United Kingdom
15513,34,19,14758.22,0,Champions,United Kingdom
16133,4,33,14589.04,0,Champions,United Kingdom
14866,11,12,14389.9,0,Champions,United Kingdom
16705,1,20,14034.99,0,Champions,United Kingdom
12681,15,22,13787.54,0,Champions,France
12621,2,20,13689.67,0,Champions,Germany
12540,20,17,13400.24,0,Champions,Spain
12433,1,7,13375.87,0,Champions,Norway
15498,3,27,13316.4,0,Champions,United Kingdom
12477,23,6,13219.74,0,Champions,Germany
17735,3,19,13110.02,0,Champions,United Kingdom
16525,3,26,13027.45,0,Champions,United Kingdom
14258,10,9,12669.98,0,Champions,United Kingdom
13078,4,26,12627.94,0,Champions,United Kingdom
12536,44,3,12601.83,1,Loyal Customers,France
15640,5,15,12515.66,0,Champions,United Kingdom
16000,3,3,12393.7,1,Loyal Customers,United Kingdom
17340,30,11,12353.29,0,Champions,United Kingdom
12682,4,31,12288.22,0,Champions,France
13113,1,24,12245.96,0,Champions,United Kingdom
14606,2,93,12156.65,0,Champions,United Kingdom
12557,17,5,11990.96,0,Champions,Spain
12939,65,8,11581.8,0,Champions,United Kingdom
15125,26,15,11528.48,0,Champions,United Kingdom
14194,5,21,11349.52,0,Champions,United Kingdom
12971,4,86,11189.91,0,Champions,United Kingdom
14895,8,20,11138.71,0,Champions,United Kingdom
12409,79,3,11072.67,1,Loyal Customers,Switzerland
15482,16,12,11054.96,0,Champions,United Kingdom
17581,1,25,11045.04,0,Champions,United Kingdom
13319,6,26,10845.55,0,Champions,United Kingdom
17107,34,6,10815.43,0,Champions,United Kingdom
13340,46,7,10736.48,0,Champions,United Kingdom
14769,3,8,10674.75,0,Champions,United Kingdom
17139,16,12,10668.47,0,Champions,United Kingdom
16779,3,22,10629.72,0,Champions,United Kingdom
17865,31,20,10526.32,0,Champions,United Kingdom
17706,5,17,10504.49,0,Champions,United Kingdom
15251,10,11,10484.99,0,Champions,United Kingdom
14062,10,12,10464.85,0,Champions,United Kingdom
15615,11,23,10399.74,0,Champions,United Kingdom
15502,16,12,10384.93,0,Champions,United Kingdom
16180,101,8,10254.18,0,Champions,United Kingdom
16843,43,16,10196.57,0,Champions,United Kingdom
12590,212,2,9864.26,1,Loyal Customers,Germany
13001,5,13,9818.82,0,Champions,United Kingdom
13199,4,38,9817.12,0,Champions,United Kingdom
15078,8,32,9743.11,0,Champions,United Kingdom
12709,16,15,9736.52,0,Champions,Germany
13458,8,14,9646.57,0,Champions,United Kingdom
14733,17,12,9585.91,0,Champions,United Kingdom
16523,2,21,9418.47,0,Champions,United Kingdom
12567,23,10,9401.28,0,Champions,France
14367,9,16,9261.52,0,Champions,United Kingdom
14667,11,25,9241.2,0,Champions,United Kingdom
18092,3,11,9068.26,0,Champions,United Kingdom
13969,8,18,9053.94,0,Champions,United Kingdom
12451,11,5,9035.52,0,Champions,Switzerland
13488,18,13,8968.31,0,Champions,United Kingdom
13090,9,14,8910.82,0,Champions,United Kingdom
16033,6,20,8816.4,0,Champions,United Kingdom
17017,3,20,8694.26,0,Champions,United Kingdom
17243,2,26,8676.85,0,Champions,United Kingdom
17306,11,19,8631.31,0,Champions,United Kingdom
16656,23,15,8625.8,0,Champions,United Kingdom
14527,3,55,8508.82,0,Champions,United Kingdom
12683,5,15,8476.57,0,Champions,France
18139,18,6,8438.34,0,Champions,United Kingdom
15358,5,22,8347.2,0,Champions,United Kingdom
16558,1,20,8338.49,0,Champions,United Kingdom
14056,2,23,8214.65,0,Champions,United Kingdom
14936,34,8,8137.02,0,Champions,Channel Islands
16672,3,20,8134.94,0,Champions,United Kingdom
